Date,KRW
2021-12-30,1189.05
2021-12-29,1186.68
2021-12-28,1188.27
2021-12-27,1186.9
2021-12-24,1186.4
2021-12-23,1187.84
2021-12-22,1192.09
2021-12-21,1192.64
2021-12-20,1190.98
2021-12-17,1180.82
2021-12-16,1183.88
2021-12-15,1185.73
2021-12-14,1182.7
2021-12-13,1180.83
2021-12-10,1181.19
2021-12-09,1174.03
2021-12-08,1175.75
2021-12-07,1179.4
2021-12-06,1182.6
2021-12-03,1179.98
2021-12-02,1175.62
2021-12-01,1179.03
2021-11-30,1187.85
2021-11-29,1192.93
2021-11-26,1193.56
2021-11-25,1190.15
2021-11-24,1186.4
2021-11-23,1189.8
2021-11-22,1185.23
2021-11-19,1185.12
2021-11-18,1180.2
2021-11-17,1182.8
2021-11-16,1179.99
2021-11-15,1178.15
2021-11-12,1179.4
2021-11-11,1180.86
2021-11-10,1180.74
2021-11-09,1176.96
2021-11-08,1183.12
2021-11-05,1185.42
2021-11-04,1182.52
2021-11-03,1181.57
2021-11-02,1174.59
2021-11-01,1176.42
2021-10-29,1168.4
2021-10-28,1169.58
2021-10-27,1170.43
2021-10-26,1167.05
2021-10-25,1168.26
2021-10-22,1177.04
2021-10-21,1177.09
2021-10-20,1174.45
2021-10-19,1178.8
2021-10-18,1187.72
2021-10-15,1182.32
2021-10-14,1186.72
2021-10-13,1193.81
2021-10-12,1198.85
2021-10-11,1194.79
2021-10-08,1194.85
2021-10-07,1190.75
2021-10-06,1192.7
2021-10-05,1188.79
2021-10-04,1182.23
2021-10-01,1188.03
2021-09-30,1184.08
2021-09-29,1182.04
2021-09-28,1184.6
2021-09-27,1176.55
2021-09-24,1176.67
2021-09-23,1175.78
2021-09-22,1183.7
2021-09-21,1184.69
2021-09-20,1187.08
2021-09-17,1175.46
2021-09-16,1171.7
2021-09-15,1170.49
2021-09-14,1170.74
2021-09-13,1175.93
2021-09-10,1169.03
2021-09-09,1169.53
2021-09-08,1166.53
2021-09-07,1157.78
2021-09-06,1156.43
2021-09-03,1156.91
2021-09-02,1161.24
2021-09-01,1157.37
2021-08-31,1159.46
2021-08-30,1166.47
2021-08-27,1169.08
2021-08-26,1170.18
2021-08-25,1167.54
2021-08-24,1165.83
2021-08-23,1173.84
2021-08-20,1179.55
2021-08-19,1176.41
2021-08-18,1168.47
2021-08-17,1176.6
2021-08-16,1164.61
2021-08-13,1169.02
2021-08-12,1161.2
2021-08-11,1156.3
2021-08-10,1149.73
2021-08-09,1144.3
2021-08-06,1142.19
2021-08-05,1143.54
2021-08-04,1143.41
2021-08-03,1148.2
2021-08-02,1150.9
2021-07-30,1150.09
2021-07-29,1146.26
2021-07-28,1154.42
2021-07-27,1150.13
2021-07-26,1155
2021-07-23,1150.57
2021-07-22,1150.05
2021-07-21,1153.58
2021-07-20,1150.41
2021-07-19,1147.78
2021-07-16,1139.79
2021-07-15,1141.4
2021-07-14,1148.46
2021-07-13,1145.22
2021-07-12,1147.08
2021-07-09,1148.85
2021-07-08,1144.81
2021-07-07,1137.89
2021-07-06,1129.7
2021-07-05,1131.61
2021-07-02,1134.82
2021-07-01,1132.77
2021-06-30,1126.28
2021-06-29,1128.57
2021-06-28,1129.84
2021-06-25,1127.66
2021-06-24,1134.6
2021-06-23,1137.43
2021-06-22,1131.81
2021-06-21,1134.46
2021-06-18,1132.19
2021-06-17,1130.32
2021-06-16,1116.92
2021-06-15,1116.99
2021-06-14,1116.78
2021-06-11,1111.19
2021-06-10,1115.47
2021-06-09,1115.17
2021-06-08,1114.21
2021-06-07,1112.86
2021-06-04,1116.44
2021-06-03,1113.69
2021-06-02,1113.41
2021-06-01,1106.19
2021-05-31,1110.99
2021-05-28,1115.13
2021-05-27,1117.9
2021-05-26,1116.85
2021-05-25,1122
2021-05-24,1127.01
2021-05-21,1126.89
2021-05-20,1132.08
2021-05-19,1125.25
2021-05-18,1130.13
2021-05-17,1134.78
2021-05-14,1128.54
2021-05-13,1129.44
2021-05-12,1124.48
2021-05-11,1119.68
2021-05-10,1113.66
2021-05-07,1121.32
2021-05-06,1125.72
2021-05-05,1126.27
2021-05-04,1122.59
2021-05-03,1123.38
2021-04-30,1112.31
2021-04-29,1108.43
2021-04-28,1112.88
2021-04-27,1110.23
2021-04-26,1113.19
2021-04-23,1117.83
2021-04-22,1117.39
2021-04-21,1118.38
2021-04-20,1112.13
2021-04-19,1117.18
2021-04-16,1116.13
2021-04-15,1117.4
2021-04-14,1116.43
2021-04-13,1125.88
2021-04-12,1124.86
2021-04-09,1121
2021-04-08,1117.22
2021-04-07,1116.24
2021-04-06,1119.61
2021-04-05,1127.59
2021-04-02,1127.55
2021-04-01,1131.88
